MOFRefcodes,LCD,PLD,LFPD,Volume,ASA_m2_g,ASA_m2_cm3,NASA_m2_g,NASA_m2_cm3,AV_VF,AV_cm3_g,NAV_cm3_g, H,C,N,F,Cl,Br,V,Cu,Zn,Zr,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,O2uptakemolkg,N2uptakemolkg,SelfdiffusionofO2cm2s,SelfdiffusionofN2cm2s,O2N2ratio,HenrysconstantO2,HenrysconstantN2,SelfdiffusionofO2cm2sinfDilute,SelfdiffusionofN2cm2sinfDilute
AQOLID_clean,15.46142,7.44821,15.40352,1.15975,1054.13,1222.53,342.228,396.899,0.6494,0.559948,0,576,832,512,0,24,0,0,0,0,0,1,405,34.61538462,0,0.731326165,0.731326165,0,0.412623012,0.436082207,0.000172216,6.91974E-05,0.946204649,4.46871E-06,4.73063E-06,0.000135518,0.000159292
AQOLUP_clean,15.5822,9.65924,15.5822,0.788284,1632.89,1287.18,530.017,417.804,0.712,0.903228,0,384,768,576,0,24,0,0,0,0,0,1,421,12.5,0,0.988571429,0.988571429,0,0.440589575,0.400924644,5.87703E-05,0.000288818,1.098933633,4.6051E-06,4.21387E-06,0.00016943,0.000201124
AQOMAW_clean,15.65949,6.23259,15.65949,1.14479,1133.23,1297.32,340.573,389.885,0.648,0.566042,0,72,120,48,0,3,0,0,0,0,0,1,71.5,30,0.333333333,0.675876289,0.675876289,4,0.404784898,0.40934187,0.000143533,0.000107792,0.988867564,4.34347E-06,4.50473E-06,8.18145E-05,0.000168444
AQOMEA01_clean,15.71951,9.72839,15.71951,0.76692,1670.9,1281.45,554.513,425.267,0.7184,0.936734,0,384,768,576,0,24,0,0,0,0,0,1,421,12.5,0,0.988571429,0.988571429,0,0.416689738,0.385307972,0.0002498,0.000387492,1.081445929,4.37351E-06,4.02017E-06,0.00019435,0.000342022
AQOMEA_clean,15.83521,9.82464,15.8304,0.749306,1701.44,1274.9,575.842,431.482,0.7222,0.963826,0,384,768,576,0,24,0,0,0,0,0,1,421,12.5,0,0.988571429,0.988571429,0,0.402134767,0.369587529,0.000266815,0.000460117,1.088063682,4.17833E-06,3.86496E-06,0.000116349,0.000229844
AQUCOF_clean,9.38154,5.59471,9.38154,1.04219,1876.59,1955.75,0,0,0.6824,0.654777,0,30,50,20,0,0,0,0,12,0,0,4,31,24,1.666666667,0.981818182,0.981818182,1,0.212924308,0.20697538,9.2981E-05,9.47214E-05,1.028742202,2.15678E-06,2.10333E-06,9.92379E-05,9.45464E-05
AQUCOG_clean,11.41407,10.59979,11.41389,1.19971,1314.22,1576.67,0,0,0.6588,0.549134,0,18,72,0,0,0,0,0,0,0,0,1,64,25,3,1.146666667,1.146666667,0,0.213775076,0.22356666,0.000214559,0.000238942,0.956202844,2.15881E-06,2.24903E-06,0.000265133,0.000247393
AQUCUM_clean,11.51533,10.7235,11.51515,1.1988,1317.1,1578.94,0,0,0.662,0.55222,0,18,72,0,0,0,0,0,0,0,0,1,64,25,3,1.146666667,1.146666667,0,0.217618003,0.228735672,0.000258846,0.000285205,0.951395123,2.19057E-06,2.30961E-06,0.00022091,0.000322754
AQUDAS_clean,9.38408,5.62446,8.32943,1.03958,1887.52,1962.23,0,0,0.6752,0.649493,0,30,50,20,0,0,0,0,12,0,0,4,31,24,1.666666667,0.981818182,0.981818182,1,0.211761333,0.206361703,9.89679E-05,0.000117174,1.026165849,2.14972E-06,2.10184E-06,0.000100162,0.000102578
AQUDIB_clean,11.3608,10.54479,11.3608,1.19943,1315.3,1577.62,0,0,0.659,0.549427,0,18,72,0,0,0,0,0,0,0,0,1,64,25,3,1.146666667,1.146666667,0,0.210514484,0.216395811,0.000181053,0.000226364,0.97282144,2.12254E-06,2.19543E-06,0.000168592,0.00027711
ARADEE_clean,5.98273,5.3868,5.98273,1.18176,2211.32,2613.25,0,0,0.645,0.545797,0,40,96,12,0,0,0,0,0,0,0,1,74,12.5,4,0.969230769,0.969230769,0.25,0.383875417,0.33756308,0.000290153,0.000327467,1.137196099,3.92838E-06,3.51877E-06,0.00038815,0.000355391
ARAFEF_clean,8.89536,8.62816,8.89536,0.837745,2222.3,1861.72,0,0,0.6918,0.825789,0,32,40,24,0,0,0,0,4,0,0,4,19,10,0,0.7296,0.7296,0,0.430337899,0.391023414,0.000255948,0.000240642,1.100542533,4.39425E-06,4.00338E-06,0.000321637,0.000303505
